Latitude,Longitude,CD4  (/km^2)
,,>200 mm
43.3358,7.8405,5.89
43.3525,7.7999,3.93
43.3685,7.7312,1.96
43.1615,7.1207,3.93
43.0845,6.8889,1.96
42.9199,6.4251,3.93
42.8840,6.4619,1.96
42.8500,6.4991,1.96
42.7762,6.5795,3.93
42.7375,6.6205,11.79
42.6849,6.6700,1.96
42.6479,6.7141,1.96
42.6082,6.7565,5.89
42.5664,6.8016,7.86
42.5223,6.8477,3.93
42.3846,6.9800,3.93
42.3368,7.2854,1.96
42.3713,7.3383,3.93
42.4691,7.4467,1.96
42.5158,7.4660,5.89
42.6030,7.4931,7.86
42.6372,7.4498,1.96
42.6754,7.3863,11.79
42.7436,7.2917,9.82
42.7804,7.2410,1.96
42.8148,7.1937,11.79
42.9394,6.9721,7.86
42.9659,6.9785,1.96
43.3420,7.3973,1.96
43.2389,7.4307,9.82
43.2181,7.2641,7.86
42.8281,6.6671,5.89
42.8821,6.4677,1.96
42.8435,6.5119,9.82
42.8040,6.5548,11.79
42.7429,6.6197,5.89
42.6993,6.6661,1.96
42.6552,6.7107,3.93
42.6148,6.7523,3.93
42.5744,6.7945,13.75
42.5339,6.8350,1.96
42.8276,7.1543,13.75
42.8792,7.1483,7.86
42.9470,7.1078,13.75
42.9961,7.1167,11.79
43.0464,7.1252,7.86
43.0961,7.1340,3.93
43.1315,7.1728,3.93
43.1577,7.2286,3.93
43.2133,7.3607,11.79
43.2490,7.4109,3.93
43.2844,7.4614,3.93
43.3148,7.5044,3.93
43.3499,7.4565,5.89
43.3845,7.4036,1.96
43.4218,7.3511,1.96
43.4971,7.2506,9.82
43.5319,7.2132,9.82
43.0973,7.3991,1.96
43.0498,7.4336,1.96
42.5503,8.5381,1.96
42.6590,8.6220,1.96
43.1147,8.2830,1.96
43.0126,8.1550,1.96
43.1044,7.7580,1.96
43.1074,7.6936,5.89
43.1261,7.5947,1.96
43.1243,7.5309,1.96
42.9387,6.9428,3.93
42.9794,7.0302,1.96
43.0652,7.0794,1.96
43.0987,7.1011,3.93
43.1660,7.1225,3.93
42.8592,6.7719,1.96
42.8443,6.7002,1.96
42.8334,6.6472,7.86
42.8043,6.4864,3.93
42.7711,6.3518,1.96
42.7152,6.2861,1.96
42.6689,6.2099,1.96
42.6242,6.1877,1.96
42.5771,6.1667,1.96
42.5465,5.9037,1.96
42.6222,5.9167,1.96
42.6668,5.9359,3.93
42.7026,5.9638,3.93
